Day,Time,Hours,Category,Project,Sub Project
10/1/2023,N/A,1,1st Draft,Raven,Outlining
10/3/2023,N/A,0.25,1st Draft,Raven,
10/4/2023,N/A,0.75,1st Draft,Raven,
10/6/2023,N/A,0.5,1st Draft,Raven,
10/7/2023,N/A,0.5,1st Draft,Raven,
10/8/2023,N/A,1.25,1st Draft,Raven,
10/9/2023,N/A,0.5,1st Draft,Raven,
10/10/2023,N/A,0.5,1st Draft,Raven,
10/11/2023,N/A,0.5,1st Draft,Raven,
10/12/2023,N/A,0.5,1st Draft,Raven,
10/13/2023,N/A,0.75,1st Draft,Raven,
10/14/2023,N/A,0.75,1st Draft,Raven,
10/15/2023,N/A,0.75,1st Draft,Raven,Outlining
10/16/2023,N/A,0.25,1st Draft,Raven,Outlining
10/16/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
10/21/2023,N/A,0.25,Free Write,Secondary Beneficiary,
10/27/2023,N/A,0.25,1st Draft,Raven,
10/28/2023,N/A,0.38,1st Draft,Raven,
10/29/2023,N/A,0.38,1st Draft,Raven,
10/30/2023,N/A,0.25,1st Draft,Raven,
10/31/2023,N/A,0.25,1st Draft,Raven,
11/1/2023,N/A,0.75,1st Draft,Raven,
11/2/2023,N/A,0.5,1st Draft,Raven,
11/3/2023,N/A,1,1st Draft,Raven,
11/4/2023,N/A,1.25,1st Draft,Raven,
11/5/2023,N/A,1.75,1st Draft,Raven,
11/6/2023,N/A,0.5,1st Draft,Raven,
11/7/2023,N/A,1,1st Draft,Raven,
11/8/2023,N/A,0.75,1st Draft,Raven,
11/9/2023,N/A,0.5,1st Draft,Raven,
11/10/2023,N/A,2.5,1st Draft,Raven,
11/11/2023,N/A,1,1st Draft,Raven,
11/12/2023,N/A,1,1st Draft,Raven,
11/13/2023,N/A,0.5,1st Draft,Raven,
11/14/2023,N/A,0.5,1st Draft,Raven,
11/15/2023,N/A,0.75,1st Draft,Raven,
11/16/2023,N/A,0.75,1st Draft,Raven,
11/17/2023,N/A,1.5,1st Draft,Raven,
11/18/2023,N/A,1.5,1st Draft,Raven,
11/19/2023,N/A,1.75,1st Draft,Raven,
11/20/2023,N/A,1.25,1st Draft,Raven,
11/21/2023,N/A,1.5,1st Draft,Raven,
11/22/2023,N/A,1,1st Draft,Raven,
11/23/2023,N/A,0.5,1st Draft,Raven,
